[2020-01-28 08:45:48,208] do_query : M51
[2020-01-28 08:45:52,239] query dataset : wsrt_mffe_visibilities
[2020-01-28 08:45:53,149] query dataset : apertif_visibilities
[2020-01-28 08:45:53,149] query dataset : apertif_images
[2020-01-28 08:45:53,150] query dataset : lotss-dr1-cross-matched
[2020-01-28 08:45:53,151] query dataset : lotss-dr1-image
[2020-01-28 08:45:53,151] query dataset : lotss-dr1-image-cutout
[2020-01-28 08:45:53,152] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 08:45:53,152] query dataset : lotss-pdr-image-archive
[2020-01-28 08:45:53,153] query dataset : lotss-pdr-image-cutout
[2020-01-28 08:45:53,154] query dataset : lotss-pdr-source-catalog
[2020-01-28 08:45:53,154] query dataset : sauron-hi-survey-images
[2020-01-28 08:45:53,155] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 08:45:53,156] query dataset : wow-sauron
[2020-01-28 08:45:53,156] query dataset : wow-sings
[2020-01-28 08:45:53,156] query dataset : wow-whisp
[2020-01-28 08:45:53,157] query dataset : wow-atlas3d
[2020-01-28 08:45:53,157] query dataset : wow-wenss
[2020-01-28 08:45:53,158] query dataset : wow-wish
[2020-01-28 08:45:53,158] query dataset : wow-spitzer
[2020-01-28 08:45:53,159] query dataset : wow-hubble-deep-field
[2020-01-28 08:45:53,159] query dataset : wow-bootes
[2020-01-28 08:55:11,417] do_query : M51
[2020-01-28 08:55:11,425] query dataset : lotss-dr1-cross-matched
[2020-01-28 08:55:11,425] query dataset : lotss-dr1-image
[2020-01-28 08:55:11,427] query dataset : lotss-dr1-image-cutout
[2020-01-28 08:55:11,427] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 08:55:11,427] query dataset : lotss-pdr-image-archive
[2020-01-28 08:55:11,428] query dataset : lotss-pdr-image-cutout
[2020-01-28 08:55:11,428] query dataset : lotss-pdr-source-catalog
[2020-01-28 08:55:11,429] query dataset : sauron-hi-survey-images
[2020-01-28 08:55:11,430] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 08:55:11,430] query dataset : wow-wenss
[2020-01-28 10:55:26,456] do_query : M51
[2020-01-28 10:55:31,462] query dataset : wsrt_mffe_visibilities
[2020-01-28 10:58:18,890] do_query : M51
[2020-01-28 10:58:18,899] query dataset : wsrt_mffe_visibilities
[2020-01-28 11:06:52,563] do_query : None
[2020-01-28 11:07:04,220] query dataset : lotss-dr1-cross-matched
[2020-01-28 11:09:03,889] do_query : None
[2020-01-28 11:09:07,479] query dataset : lotss-dr1-cross-matched
[2020-01-28 11:09:10,458] query dataset : lotss-dr1-image
[2020-01-28 11:09:16,001] query dataset : lotss-dr1-image-cutout
[2020-01-28 11:09:16,002] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 11:09:16,003] query dataset : lotss-pdr-image-archive
[2020-01-28 11:09:16,003] query dataset : lotss-pdr-image-cutout
[2020-01-28 11:09:16,004] query dataset : lotss-pdr-source-catalog
[2020-01-28 11:09:16,005] query dataset : sauron-hi-survey-images
[2020-01-28 11:09:16,005] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 11:09:16,006] query dataset : wow-wenss
[2020-01-28 11:09:51,650] do_query : M51
[2020-01-28 11:09:52,729] query dataset : lotss-dr1-cross-matched
[2020-01-28 11:09:52,729] query dataset : lotss-dr1-image
[2020-01-28 11:09:52,729] query dataset : lotss-dr1-image-cutout
[2020-01-28 11:09:52,730] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 11:09:52,730] query dataset : lotss-pdr-image-archive
[2020-01-28 11:09:52,731] query dataset : lotss-pdr-image-cutout
[2020-01-28 11:09:52,731] query dataset : lotss-pdr-source-catalog
[2020-01-28 11:09:52,731] query dataset : sauron-hi-survey-images
[2020-01-28 11:09:52,732] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 11:09:52,732] query dataset : wow-wenss
[2020-01-28 11:11:44,559] do_query : M51
[2020-01-28 11:11:45,372] query dataset : lotss-dr1-cross-matched
[2020-01-28 11:11:45,373] query dataset : lotss-dr1-image
[2020-01-28 11:11:45,374] query dataset : lotss-dr1-image-cutout
[2020-01-28 11:11:45,374] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 11:11:45,375] query dataset : lotss-pdr-image-archive
[2020-01-28 11:11:45,375] query dataset : lotss-pdr-image-cutout
[2020-01-28 11:11:45,376] query dataset : lotss-pdr-source-catalog
[2020-01-28 11:11:45,376] query dataset : sauron-hi-survey-images
[2020-01-28 11:11:45,376] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 11:11:45,377] query dataset : wow-wenss
[2020-01-28 11:12:02,101] do_query : M51
[2020-01-28 11:12:06,199] query dataset : lotss-dr1-cross-matched
[2020-01-28 11:12:42,621] query dataset : lotss-dr1-image
[2020-01-28 11:12:44,569] query dataset : lotss-dr1-image-cutout
[2020-01-28 11:12:46,067] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 11:12:46,810] query dataset : lotss-pdr-image-archive
[2020-01-28 11:12:47,604] query dataset : lotss-pdr-image-cutout
[2020-01-28 11:12:48,235] query dataset : lotss-pdr-source-catalog
[2020-01-28 11:12:48,950] query dataset : sauron-hi-survey-images
[2020-01-28 11:12:49,876] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 11:12:50,616] query dataset : wow-wenss
[2020-01-28 11:13:07,179] do_query : M51
[2020-01-28 11:13:07,184] query dataset : lotss-dr1-cross-matched
[2020-01-28 11:13:16,005] query dataset : lotss-dr1-image
[2020-01-28 11:13:21,146] query dataset : lotss-dr1-image-cutout
[2020-01-28 11:13:27,185] query dataset : lotss-dr1-raw-radio-catalogue
[2020-01-28 11:13:29,762] query dataset : lotss-pdr-image-archive
[2020-01-28 11:13:30,598] query dataset : lotss-pdr-image-cutout
[2020-01-28 11:13:31,251] query dataset : lotss-pdr-source-catalog
[2020-01-28 11:13:31,853] query dataset : sauron-hi-survey-images
[2020-01-28 11:13:32,546] query dataset : sauron-hi-survey-velocity-fields
[2020-01-28 11:13:33,101] query dataset : wow-wenss
[2020-01-28 11:30:25,478] prepare_query : M51
[2020-01-28 11:31:00,433] prepare_query : M51
[2020-01-28 11:34:16,224] prepare_query : M51
[2020-01-28 11:35:23,324] prepare_query : M51
[2020-01-28 11:39:39,255] prepare_query : M51
[2020-01-28 11:41:01,985] prepare_query : M51
[2020-01-28 11:41:55,088] prepare_query : M51
[2020-01-28 11:43:47,455] prepare_query : M51
[2020-01-28 11:45:48,807] prepare_query : M51
[2020-01-28 11:46:23,441] prepare_query : M51
[2020-01-28 11:53:53,753] prepare_query : M51
[2020-01-28 11:54:24,453] prepare_query : M51
[2020-01-28 11:55:21,957] prepare_query : M51
[2020-01-28 11:55:51,552] prepare_query : M51
[2020-01-28 11:57:34,839] prepare_query : M51
[2020-01-28 11:59:55,136] prepare_query : M51
[2020-01-28 12:00:53,817] prepare_query : M51
[2020-01-28 12:02:20,432] prepare_query : M51
[2020-01-28 12:02:58,666] prepare_query : M51
[2020-01-28 12:04:38,964] prepare_query : M51
[2020-01-28 12:07:12,579] prepare_query : M51
[2020-01-28 12:07:50,575] prepare_query : M51
[2020-01-28 12:08:47,425] prepare_query : M51
[2020-01-28 12:09:14,615] prepare_query : M51
[2020-01-28 12:16:07,171] prepare_query : M51
[2020-01-28 12:16:23,607] prepare_query : M51
[2020-01-28 12:18:45,427] prepare_query : M51
[2020-01-28 12:19:55,892] prepare_query : M51
[2020-01-28 12:20:36,646] prepare_query : M51
[2020-01-28 12:21:24,743] prepare_query : M51
[2020-01-28 13:05:11,693] prepare_query : M51
[2020-01-28 13:07:07,785] prepare_query : M51
[2020-01-28 13:07:36,943] prepare_query : M51
[2020-01-28 13:08:53,233] prepare_query : M51
[2020-01-28 13:15:36,736] prepare_query : M51
[2020-01-28 13:16:16,135] prepare_query : M51
[2020-01-28 13:24:19,185] prepare_query : M51
[2020-01-28 13:25:17,033] prepare_query : M51
[2020-01-28 13:25:58,741] prepare_query : M51
[2020-01-28 13:26:39,009] prepare_query : M51
[2020-01-28 13:47:01,046] prepare_query : M51
[2020-01-28 13:55:20,605] prepare_query : M51
[2020-01-28 13:55:20,962] prepare_query : M51
[2020-01-28 13:56:10,747] prepare_query : M51
[2020-01-28 14:43:11,541] prepare_query : M51
[2020-01-28 16:11:11,885] prepare_query : M51
[2020-01-28 16:11:43,086] prepare_query : M51
[2020-01-28 16:14:18,525] prepare_query : M51
[2020-01-28 16:14:45,449] prepare_query : M51
